PARIS 1er Les Halles,VITRY-SUR-SEINE,Rambouillet,CERGY-PONTOISE,CHAMPIGNY-SUR-MARNE,Tour Eiffel 3ème étage,LOGNES,MANTES-LA-JOLIE,MELUN,MONTGERON,NEUILLY-SUR-SEINE,PARIS 13ème,PARIS 18ème,Zone rurale Est - SAINTS,Zone rurale Nord - Saint-Martin-du-Tertre,Zone rurale Nord-Est - MONTGE-EN-GOELE,Zone rurale Nord-Ouest - FREMAINVILLE,Zone Rurale Sud - Bois Herpin,Zone rurale Sud-Est - Forêt de Fontainebleau,Zone rurale Sud-Ouest - Forêt de Rambouillet,TREMBLAY-EN-FRANCE,LES ULIS,VILLEMOMBLE,VERSAILLES
2022-01-01T01:00:00+00,O3,0.500000,7.400000,14.600000,28.900000,9.700000,40.800000,12.600000,8.400000,2.700000,2.900000,1,0.400000,1,17,31.600000,27.200000,26.800000,16.800000,13.300000,17.400000,6.900000,22.200000,2.500000,18.200000
2022-01-01T02:00:00+00,O3,0.500000,3.500000,14.600000,18.300000,8.700000,47.100000,11.800000,5.200000,4.700000,2.400000,0.700000,1,0.500000,19,9.500000,23.100000,20.700000,18.700000,9.600000,19.500000,11.900000,20.700000,3.300000,17.800000
2022-01-01T03:00:00+00,O3,0.500000,3.400000,16.600000,7.300000,8.800000,37.800000,11.500000,4.100000,4.100000,0.700000,0.800000,1.100000,1,18.500000,3,19.800000,17.300000,18.800000,4.500000,18.300000,11.800000,18.600000,3.800000,16.200000
2022-01-01T04:00:00+00,O3,0.500000,3.700000,14.800000,2.200000,9.300000,55,13.100000,5.400000,5.500000,0.500000,0.900000,1.300000,0.900000,13.600000,2,20.200000,13.700000,19.500000,4.700000,17.600000,11.200000,18.100000,5.700000,14.200000
2022-01-01T05:00:00+00,O3,2.500000,2.600000,17.200000,0.800000,9.700000,66.500000,13.500000,6.500000,9.200000,2.200000,1.700000,1.800000,1.500000,15.900000,1.200000,18.500000,10,18.400000,5.500000,22.200000,10.600000,17.400000,8.500000,11.200000
2022-01-01T06:00:00+00,O3,2.600000,7,17.600000,0.500000,7.800000,66.200000,17.500000,4.800000,3.800000,4.800000,4,5.500000,1.200000,15.600000,0.800000,18.500000,7.700000,16.900000,7.500000,22.300000,11.700000,13.100000,5.900000,13.700000
2022-01-01T07:00:00+00,O3,3.700000,4.600000,23.600000,0.800000,10.800000,62.300000,15.400000,4.600000,2.100000,2.400000,3.700000,4.800000,3.500000,18.200000,5.500000,21.600000,7.900000,17.400000,9.700000,19.600000,10.900000,15.700000,5.500000,17.800000
2022-01-01T08:00:00+00,O3,4.500000,4.400000,19.900000,,8.800000,66.600000,16.900000,4.500000,1,0.300000,1.200000,4,1.700000,17.700000,12.500000,25.200000,10.600000,19,11.800000,18.800000,2.400000,14,4.800000,26.500000
2022-01-01T09:00:00+00,O3,6.500000,8.100000,21.300000,1.600000,15.100000,68,22.100000,5.900000,6.600000,1.800000,5.100000,8.700000,3.100000,19.100000,10.900000,28.400000,14.200000,18.600000,16.200000,16.700000,3.300000,15.400000,11.300000,25.500000
2022-01-01T10:00:00+00,O3,9.900000,12.700000,28.500000,5.100000,15.500000,68,27.500000,8.700000,14,5.800000,10.400000,13.100000,9.100000,22.200000,14.500000,34.200000,17.600000,25.900000,22.900000,16.800000,8.200000,21,15.800000,22.600000
2022-01-01T11:00:00+00,O3,15.200000,20.600000,29.200000,11.300000,24,57.500000,35.800000,12.400000,16.500000,19.500000,15.700000,19,14.700000,28.600000,19.800000,34.200000,20.400000,30,24.700000,23.900000,23.700000,26.700000,23.600000,21.700000
2022-01-01T12:00:00+00,O3,17.300000,26.200000,28.500000,21.200000,26.100000,47.900000,37.500000,18.400000,24.300000,26.900000,17.100000,22.800000,19.100000,39.700000,25.200000,37.700000,23.900000,31.800000,21.400000,25.100000,32.900000,32.300000,29,28.400000
2022-01-01T13:00:00+00,O3,20.100000,27.900000,30.100000,31.500000,27,40.800000,35.700000,26.600000,26,29.800000,21.500000,24.200000,19.800000,41,28.700000,38.200000,34.500000,33.800000,26.100000,27.100000,35.900000,36.300000,27.700000,33.600000
2022-01-01T14:00:00+00,O3,19.100000,30,33.200000,37,25.500000,35.100000,34.300000,34.200000,20.800000,30.300000,21.800000,23.200000,20.600000,42,28.100000,37.900000,35.700000,36.400000,38.600000,30.200000,32.500000,39.600000,25.300000,33.300000
2022-01-01T15:00:00+00,O3,20.300000,31.300000,33.200000,33,25.100000,36,32.200000,29,30.200000,33.100000,18.100000,24.200000,20.700000,36.100000,23.600000,36.800000,36.300000,40.600000,38.500000,31.600000,31.800000,37.200000,21.300000,33.700000
2022-01-01T16:00:00+00,O3,12.100000,21.800000,28.600000,26,21.600000,37,22.500000,18.900000,22,24.300000,11.400000,16.100000,13.300000,31.500000,16.800000,33.400000,31.100000,37,34.100000,26,23.300000,30.200000,21.100000,29.800000
2022-01-01T17:00:00+00,O3,4.600000,6.600000,14.900000,18.700000,8.600000,42.300000,10.200000,6.100000,4.700000,8.500000,6.300000,4.200000,7.200000,29.700000,6.800000,32.600000,29.500000,33.400000,24.400000,22.400000,9.900000,26.800000,12.500000,25
2022-01-01T18:00:00+00,O3,1.100000,2.600000,22.400000,18,7.200000,48.800000,2.600000,5.600000,2,3.500000,1.600000,3.100000,3.100000,26.500000,1.200000,28.900000,24.100000,30.400000,13,26.900000,4.900000,19.300000,9.600000,26.500000
