Autoroute_A1_Saint_Denis
2022-01-01T01:00:00+00,CO,0.499000
2022-01-01T02:00:00+00,CO,0.526000
2022-01-01T03:00:00+00,CO,0.507000
2022-01-01T04:00:00+00,CO,0.499000
2022-01-01T05:00:00+00,CO,0.405000
2022-01-01T06:00:00+00,CO,0.358000
2022-01-01T07:00:00+00,CO,0.360000
2022-01-01T08:00:00+00,CO,0.318000
2022-01-01T09:00:00+00,CO,0.328000
2022-01-01T10:00:00+00,CO,0.305000
2022-01-01T11:00:00+00,CO,0.301000
2022-01-01T12:00:00+00,CO,0.296000
2022-01-01T13:00:00+00,CO,0.355000
2022-01-01T14:00:00+00,CO,0.417000
2022-01-01T15:00:00+00,CO,0.449000
2022-01-01T16:00:00+00,CO,0.524000
2022-01-01T17:00:00+00,CO,1.027000
2022-01-01T18:00:00+00,CO,0.622000
2022-01-01T19:00:00+00,CO,0.631000
2022-01-01T20:00:00+00,CO,0.703000
2022-01-01T21:00:00+00,CO,0.725000
2022-01-01T22:00:00+00,CO,0.649000
2022-01-01T23:00:00+00,CO,0.527000
2022-01-02T00:00:00+00,CO,0.503000
2022-01-02T01:00:00+00,CO,0.377000
2022-01-02T02:00:00+00,CO,0.382000
2022-01-02T03:00:00+00,CO,0.309000
2022-01-02T04:00:00+00,CO,0.260000
2022-01-02T05:00:00+00,CO,0.285000
2022-01-02T06:00:00+00,CO,0.287000
2022-01-02T07:00:00+00,CO,0.210000
2022-01-02T08:00:00+00,CO,0.195000
2022-01-02T09:00:00+00,CO,0.302000
2022-01-02T10:00:00+00,CO,0.397000
2022-01-02T11:00:00+00,CO,0.329000
2022-01-02T12:00:00+00,CO,0.266000
2022-01-02T13:00:00+00,CO,0.289000
2022-01-02T14:00:00+00,CO,0.325000
2022-01-02T15:00:00+00,CO,0.276000
2022-01-02T16:00:00+00,CO,0.286000
2022-01-02T17:00:00+00,CO,0.232000
2022-01-02T18:00:00+00,CO,0.265000
2022-01-02T19:00:00+00,CO,0.263000
2022-01-02T20:00:00+00,CO,0.281000
2022-01-02T21:00:00+00,CO,0.257000
2022-01-02T22:00:00+00,CO,0.272000
2022-01-02T23:00:00+00,CO,0.273000
2022-01-03T00:00:00+00,CO,0.175000
2022-01-03T01:00:00+00,CO,0.149000
2022-01-03T02:00:00+00,CO,0.175000
2022-01-03T03:00:00+00,CO,0.142000
2022-01-03T04:00:00+00,CO,0.180000
2022-01-03T05:00:00+00,CO,0.229000
2022-01-03T06:00:00+00,CO,0.370000
2022-01-03T07:00:00+00,CO,0.383000
2022-01-03T08:00:00+00,CO,0.428000
2022-01-03T09:00:00+00,CO,0.436000
2022-01-03T10:00:00+00,CO,0.408000
2022-01-03T11:00:00+00,CO,0.290000
2022-01-03T12:00:00+00,CO,0.290000
2022-01-03T13:00:00+00,CO,0.369000
2022-01-03T14:00:00+00,CO,0.271000
2022-01-03T15:00:00+00,CO,0.309000
2022-01-03T16:00:00+00,CO,0.401000
2022-01-03T17:00:00+00,CO,0.427000
2022-01-03T18:00:00+00,CO,0.485000
2022-01-03T19:00:00+00,CO,0.321000
2022-01-03T20:00:00+00,CO,0.280000
2022-01-03T21:00:00+00,CO,0.261000
2022-01-03T22:00:00+00,CO,0.266000
2022-01-03T23:00:00+00,CO,0.226000
2022-01-04T00:00:00+00,CO,0.252000
2022-01-04T01:00:00+00,CO,0.226000
2022-01-04T02:00:00+00,CO,0.203000
2022-01-04T03:00:00+00,CO,0.207000
2022-01-04T04:00:00+00,CO,0.215000
2022-01-04T05:00:00+00,CO,0.252000
2022-01-04T06:00:00+00,CO,0.261000
2022-01-04T07:00:00+00,CO,0.370000
2022-01-04T08:00:00+00,CO,0.532000
2022-01-04T09:00:00+00,CO,0.693000
2022-01-04T10:00:00+00,CO,0.660000
2022-01-04T11:00:00+00,CO,0.611000
2022-01-04T12:00:00+00,CO,0.596000
2022-01-04T13:00:00+00,CO,0.523000
2022-01-04T14:00:00+00,CO,0.487000
2022-01-04T15:00:00+00,CO,0.427000
2022-01-04T16:00:00+00,CO,0.606000
2022-01-04T17:00:00+00,CO,0.593000
2022-01-04T18:00:00+00,CO,0.530000
2022-01-04T19:00:00+00,CO,0.513000
2022-01-04T20:00:00+00,CO,0.509000
2022-01-04T21:00:00+00,CO,0.310000
2022-01-04T22:00:00+00,CO,0.248000
2022-01-04T23:00:00+00,CO,0.235000
2022-01-05T00:00:00+00,CO,0.310000
2022-01-05T01:00:00+00,CO,0.207000
2022-01-05T02:00:00+00,CO,0.190000
2022-01-05T03:00:00+00,CO,0.205000
2022-01-05T04:00:00+00,CO,0.224000
2022-01-05T05:00:00+00,CO,0.369000
2022-01-05T06:00:00+00,CO,0.406000
2022-01-05T07:00:00+00,CO,0.601000
2022-01-05T08:00:00+00,CO,0.718000
2022-01-05T09:00:00+00,CO,0.579000
2022-01-05T10:00:00+00,CO,0.457000
2022-01-05T11:00:00+00,CO,0.514000
2022-01-05T12:00:00+00,CO,0.503000
2022-01-05T13:00:00+00,CO,0.389000
2022-01-05T14:00:00+00,CO,0.460000
2022-01-05T15:00:00+00,CO,0.397000
2022-01-05T16:00:00+00,CO,0.422000
2022-01-05T17:00:00+00,CO,0.532000
2022-01-05T18:00:00+00,CO,0.564000
2022-01-05T19:00:00+00,CO,0.548000
2022-01-05T20:00:00+00,CO,0.675000
2022-01-05T21:00:00+00,CO,0.698000
2022-01-05T22:00:00+00,CO,0.557000
2022-01-05T23:00:00+00,CO,0.553000
2022-01-06T00:00:00+00,CO,0.514000
2022-01-06T01:00:00+00,CO,0.560000
